00:45:19 | INFO     | __main__ | ============================================================
00:45:19 | INFO     | __main__ | Component 1 Pipeline Starting
00:45:19 | INFO     | __main__ | ============================================================
00:45:19 | INFO     | vector_store | Initialising ChromaDB at: C:\Projects\trademarkiaTask\preprocessing\chroma_store
00:45:20 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
00:45:20 | INFO     | chromadb.api.segment | Collection newsgroups_corpus is not created.
00:45:20 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
00:45:20 | INFO     | vector_store | Collection 'newsgroups_corpus' ready. Current count: 19997
00:45:20 | INFO     | __main__ | Collection already contains 19997 documents. Skipping pipeline. Use --reset to re-ingest.
20:34:27 | INFO     | __main__ | ============================================================
20:34:27 | INFO     | __main__ | Component 1 Pipeline Starting
20:34:27 | INFO     | __main__ | ============================================================
20:34:27 | INFO     | vector_store | Initialising ChromaDB at: C:\Projects\trademarkiaTask\preprocessing\chroma_store
20:34:29 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
20:34:29 | INFO     | chromadb.api.segment | Collection newsgroups_corpus is not created.
20:34:29 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
20:34:30 | INFO     | vector_store | Collection 'newsgroups_corpus' ready. Current count: 19997
20:34:30 | INFO     | __main__ | Collection already contains 19997 documents. Skipping pipeline. Use --reset to re-ingest.
20:44:33 | INFO     | __main__ | ============================================================
20:44:33 | INFO     | __main__ | Component 1 Pipeline Starting
20:44:33 | INFO     | __main__ | ============================================================
20:44:33 | INFO     | vector_store | Initialising ChromaDB at: C:\Projects\trademarkiaTask\preprocessing\chroma_store
20:44:33 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
20:44:33 | INFO     | chromadb.api.segment | Collection newsgroups_corpus is not created.
20:44:33 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
20:44:33 | INFO     | vector_store | Collection 'newsgroups_corpus' ready. Current count: 19997
20:44:33 | INFO     | __main__ | --reset flag set. Wiping existing collection…
20:44:33 | WARNING  | vector_store | Resetting collection 'newsgroups_corpus'!
20:44:59 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
20:44:59 | INFO     | vector_store | Collection reset. Count: 0
20:44:59 | INFO     | __main__ | Step 1/3 — Loading and preprocessing corpus…
20:44:59 | INFO     | data_loader | Loading 20 Newsgroups from local directory: C:\Projects\trademarkiaTask\20_newsgroups
20:44:59 | INFO     | data_loader | Found 20 categories: ['alt.atheism', 'comp.graphics', 'comp.os.ms-windows.misc', 'comp.sys.ibm.pc.hardware', 'comp.sys.mac.hardware', 'comp.windows.x', 'misc.forsale', 'rec.autos', 'rec.motorcycles', 'rec.sport.baseball', 'rec.sport.hockey', 'sci.crypt', 'sci.electronics', 'sci.med', 'sci.space', 'soc.religion.christian', 'talk.politics.guns', 'talk.politics.mideast', 'talk.politics.misc', 'talk.religion.misc']
20:51:48 | INFO     | data_loader | Preprocessing complete. Kept: 19997 | Discarded: 0 (0.0%) | Total files: 19997
20:51:48 | INFO     | __main__ |   Done in 408.7s. Documents: 19997
20:51:48 | INFO     | __main__ | Step 2/3 — Generating embeddings…
20:51:48 | INFO     | embedder | Loading embedding model: all-MiniLM-L6-v2
20:51:48 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
20:52:04 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
20:52:04 | INFO     | embedder | Model loaded. Output dimension: 384
20:52:04 | INFO     | embedder | Encoding 19997 texts in batches of 64…
21:06:22 | INFO     | embedder | Encoding complete. Shape: (19997, 384) | dtype: float32 | Memory: 30.7 MB
21:06:22 | INFO     | __main__ |   Done in 874.0s. Matrix shape: (19997, 384)
21:06:22 | INFO     | __main__ |   Embedding integrity checks passed.
21:06:22 | INFO     | __main__ |   Saving embeddings matrix to C:\Projects\trademarkiaTask\preprocessing\data\embeddings.npy…
21:06:22 | INFO     | __main__ |   Embedding matrix and metadata saved.
21:06:22 | INFO     | __main__ | Step 3/3 — Ingesting into ChromaDB…
21:06:22 | INFO     | vector_store | Ingesting 19997 documents in batches of 500…
